sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district
  Gitega,90,7.5,2.2,0.3,100,32945,Nyarugenge
  Kanyinya,65.7,18.5,12.6,3.2,100,34608,Nyarugenge
  Kigali,68.1,17.6,11.4,3,100,71619,Nyarugenge
  Kimisagara,86.4,9.7,3.4,0.5,100,65713,Nyarugenge
  Mageregere,56.3,18.7,18.1,6.9,100,49847,Nyarugenge
  Muhima,91.7,6.4,1.7,0.2,100,27195,Nyarugenge
  Nyakabanda,89.7,7.6,2.3,0.4,100,33924,Nyarugenge
  Nyamirambo,83.7,9.9,4.7,1.6,100,61987,Nyarugenge
  Nyarugenge,90.6,7,2.2,0.2,100,20673,Nyarugenge
  Rwezamenyo,94,4.9,1,0,100,17286,Nyarugenge
  Bumbogo,71.3,14.4,10.9,3.4,100,123525,Gasabo
  Gatsata,84,11.2,3.9,0.8,100,56768,Gasabo
  Gikomero,38.6,25,28.7,7.8,100,19161,Gasabo
  Gisozi,85.9,9.1,4,0.9,100,91564,Gasabo
  Jabana,69.5,14.9,12.1,3.5,100,66461,Gasabo
  Jali,60.2,17.7,17,5,100,43313,Gasabo
  Kacyiru,93,5.4,1.4,0.1,100,35660,Gasabo
  Kimihurura,91.5,6.8,1.6,0.1,100,21401,Gasabo
  Kimironko,91.7,6,1.9,0.3,100,70424,Gasabo
  Kinyinya,84.5,10.5,4.2,0.8,100,146389,Gasabo
  Ndera,73,13.7,9.9,3.4,100,113105,Gasabo
  Nduba,62.5,16.6,16,4.9,100,71155,Gasabo
  Remera,90.8,6.7,2.1,0.4,100,49371,Gasabo
  Rusororo,68.5,14.7,12,4.7,100,66577,Gasabo
  Rutunga,40.8,25.6,26.1,7.5,100,22460,Gasabo
  Gahanga,72.8,14.7,9.2,3.3,100,91500,Kicukiro
  Gatenga,85.4,9.2,4.2,1.2,100,76266,Kicukiro
  Gikondo,91.8,5.9,1.9,0.3,100,18466,Kicukiro
  Kagarama,90.2,6.9,2.6,0.4,100,21609,Kicukiro
  Kanombe,83.7,9.9,5.1,1.3,100,79728,Kicukiro
  Kicukiro,93.3,5.3,1.2,0.2,100,17982,Kicukiro
  Kigarama,86.4,8.8,3.9,0.8,100,70740,Kicukiro
  Masaka,74.5,14.2,9,2.4,100,85335,Kicukiro
  Niboye,94.2,4.3,1.4,0.1,100,30306,Kicukiro
  Nyarugunga,94.1,4.1,1.6,0.3,100,49735,Kicukiro
  Busasamana,59,18.5,17.3,5.1,100,54321,Nyanza
  Busoro,33.7,21,29.7,15.6,100,40338,Nyanza
  Cyabakamyi,30.6,29,32.5,7.9,100,24979,Nyanza
  Kibilizi,27.1,22.7,32.1,18.1,100,41150,Nyanza
  Kigoma,36.3,22.5,30.2,10.9,100,42249,Nyanza
  Mukingo,42.9,24.3,25.8,7,100,40510,Nyanza
  Muyira,30.3,24.8,31.5,13.4,100,43489,Nyanza
  Ntyazo,26.5,22.3,33,18.2,100,34064,Nyanza
  Nyagisozi,30.4,29.2,32.1,8.2,100,28846,Nyanza
  Rwabicuma,35.6,26.6,30.9,6.9,100,21952,Nyanza
  Gikonko,32.2,21.9,34.5,11.5,100,28794,Gisagara
  Gishubi,21.3,19.9,38.9,20,100,31209,Gisagara
  Kansi,40.6,22.7,29.7,7,100,23524,Gisagara
  Kibirizi,36.8,22,32.1,9.1,100,34480,Gisagara
  Kigembe,32.8,24.3,35.6,7.3,100,23360,Gisagara
  Mamba,30.1,20.9,32.3,16.7,100,44880,Gisagara
  Muganza,29.8,21.4,34.8,14,100,36715,Gisagara
  Mugombwa,41.2,21.5,29.7,7.6,100,34760,Gisagara
  Mukindo,33,22.1,33.6,11.3,100,32209,Gisagara
  Musha,30.7,21.5,34.4,13.4,100,29634,Gisagara
  Ndora,30.7,22.7,33.1,13.5,100,31477,Gisagara
  Nyanza,26.3,22.8,40,10.9,100,20225,Gisagara
  Save,39.2,24.7,28.7,7.5,100,33173,Gisagara
  Busanze,32,26.6,31.8,9.6,100,26955,Nyaruguru
  Cyahinda,39.8,25.7,28.1,6.5,100,21972,Nyaruguru
  Kibeho,46.4,23.3,23.8,6.5,100,25307,Nyaruguru
  Kivu,37.1,24.6,31,7.3,100,17606,Nyaruguru
  Mata,43.4,28.1,23.3,5.2,100,15687,Nyaruguru
  Muganza,35.9,23.4,33.3,7.4,100,19277,Nyaruguru
  Munini,37.5,29.2,27.5,5.8,100,17990,Nyaruguru
  Ngera,35.9,23,33,8.1,100,24004,Nyaruguru
  Ngoma,44.2,19.3,30.5,6,100,23800,Nyaruguru
  Nyabimata,31.3,23.2,36.2,9.3,100,17166,Nyaruguru
  Nyagisozi,48.1,18.7,28.5,4.8,100,18554,Nyaruguru
  Ruheru,33,24,32.7,10.3,100,24408,Nyaruguru
  Ruramba,37.9,27.1,28.8,6.2,100,17294,Nyaruguru
  Rusenge,27.9,28.8,33.3,10,100,25099,Nyaruguru
  Gishamvu,40.8,22.9,29.3,7.1,100,14967,Huye
  Huye,48.8,22,22,7.2,100,29738,Huye
  Karama,38.5,30.3,26.1,5.2,100,17802,Huye
  Kigoma,42.1,26,27,4.9,100,26579,Huye
  Kinazi,38.5,23.3,28.9,9.2,100,34192,Huye
  Maraba,40.6,26.9,26.5,6.1,100,27614,Huye
  Mbazi,47.5,23.3,23.4,5.8,100,37487,Huye
  Mukura,46,18.2,26.6,9.2,100,27958,Huye
  Ngoma,79.4,10.5,8.3,1.8,100,22160,Huye
  Ruhashya,35.2,25.7,31,8.1,100,25967,Huye
  Rusatira,38,22.8,28.8,10.5,100,31725,Huye
  Rwaniro,27.5,30.5,33.8,8.2,100,24136,Huye
  Simbi,38.9,27.3,28,5.9,100,24196,Huye
  Tumba,68.8,13.9,12.5,4.8,100,39494,Huye
  Buruhukiro,23.1,29,35.4,12.6,100,27259,Nyamagabe
  Cyanika,40.6,27.7,27.3,4.5,100,27403,Nyamagabe
  Gasaka,60.5,20.5,16.4,2.6,100,36379,Nyamagabe
  Gatare,24,28.8,36.1,11.1,100,17838,Nyamagabe
  Kaduha,27,26.9,34.8,11.3,100,23844,Nyamagabe
  Kamegeri,28.4,32.1,31.7,7.9,100,14967,Nyamagabe
  Kibirizi,34.2,33.5,27.8,4.6,100,22044,Nyamagabe
  Kibumbwe,27,32.3,30.9,9.8,100,14131,Nyamagabe
  Kitabi,27.7,28.8,33.9,9.6,100,26391,Nyamagabe
  Mbazi,47.7,23.5,25.4,3.5,100,13131,Nyamagabe
  Mugano,24.4,28.6,35.8,11.2,100,20993,Nyamagabe
  Musange,42.1,26.9,26,4.9,100,21261,Nyamagabe
  Musebeya,25.4,30.7,33.7,10.1,100,20453,Nyamagabe
  Mushubi,29.7,27.6,35.4,7.4,100,14279,Nyamagabe
  Nkomane,17.1,30,39.7,13.1,100,18174,Nyamagabe
  Tare,33.1,29.5,29.2,8.2,100,24364,Nyamagabe
  Uwinkingi,27.5,30.7,33.7,8.1,100,25171,Nyamagabe
  Bweramana,41.2,25.7,25.7,7.4,100,33764,Ruhango
  Byimana,51.8,23.9,20.2,4.2,100,42413,Ruhango
  Kabagali,34.1,27.9,30.5,7.5,100,27203,Ruhango
  Kinazi,31.7,23.8,31.2,13.4,100,52274,Ruhango
  Kinihira,32.7,31.4,28.4,7.5,100,27966,Ruhango
  Mbuye,31.6,25,31,12.4,100,47148,Ruhango
  Mwendo,40.8,27.1,27.5,4.6,100,26967,Ruhango
  Ntongwe,28.8,25.6,33,12.6,100,38339,Ruhango
  Ruhango,47.6,22.8,23,6.7,100,81828,Ruhango
  Cyeza,51.3,23.5,22.3,2.9,100,35812,Muhanga
  Kabacuzi,43.3,26.8,26.6,3.4,100,30553,Muhanga
  Kibangu,41,26.1,28.5,4.4,100,21089,Muhanga
  Kiyumba,42.9,30.5,24.3,2.3,100,26827,Muhanga
  Muhanga,49.2,25,22.9,2.9,100,29642,Muhanga
  Mushishiro,45.1,26,25.5,3.4,100,21852,Muhanga
  Nyabinoni,25.7,32,35.6,6.7,100,17322,Muhanga
  Nyamabuye,79.2,11.3,7.9,1.6,100,65673,Muhanga
  Nyarusange,37.1,28.4,28.3,6.2,100,28838,Muhanga
  Rongi,30.5,31.1,32.5,6,100,32037,Muhanga
  Rugendabari,39.4,28,29.5,3.1,100,19081,Muhanga
