sector,poor_percent,avg_deprivation_intensity,poverty_index,district
Gitega,0.025,0.394,0.01,Nyarugenge
Kanyinya,0.157,0.41,0.065,Nyarugenge
Kigali,0.143,0.411,0.059,Nyarugenge
Kimisagara,0.039,0.398,0.015,Nyarugenge
Mageregere,0.25,0.426,0.107,Nyarugenge
Muhima,0.019,0.387,0.007,Nyarugenge
Nyakabanda,0.027,0.396,0.01,Nyarugenge
Nyamirambo,0.063,0.426,0.027,Nyarugenge
Nyarugenge,0.024,0.386,0.009,Nyarugenge
Rwezamenyo,0.011,0.374,0.004,Nyarugenge
Bumbogo,0.143,0.421,0.06,Gasabo
Gatsata,0.048,0.409,0.02,Gasabo
Gikomero,0.365,0.428,0.156,Gasabo
Gisozi,0.05,0.406,0.02,Gasabo
Jabana,0.156,0.416,0.065,Gasabo
Jali,0.22,0.419,0.092,Gasabo
Kacyiru,0.016,0.385,0.006,Gasabo
Kimihurura,0.017,0.378,0.007,Gasabo
Kimironko,0.022,0.395,0.009,Gasabo
Kinyinya,0.05,0.404,0.02,Gasabo
Ndera,0.133,0.429,0.057,Gasabo
Nduba,0.208,0.425,0.088,Gasabo
Remera,0.025,0.404,0.01,Gasabo
Rusororo,0.167,0.438,0.073,Gasabo
Rutunga,0.336,0.427,0.143,Gasabo
Gahanga,0.125,0.427,0.053,Kicukiro
Gatenga,0.054,0.414,0.022,Kicukiro
Gikondo,0.023,0.402,0.009,Kicukiro
Kagarama,0.03,0.4,0.012,Kicukiro
Kanombe,0.064,0.409,0.026,Kicukiro
Kicukiro,0.014,0.397,0.005,Kicukiro
Kigarama,0.048,0.407,0.019,Kicukiro
Masaka,0.113,0.415,0.047,Kicukiro
Niboye,0.015,0.378,0.006,Kicukiro
Nyarugunga,0.018,0.384,0.007,Kicukiro
Busasamana,0.225,0.42,0.095,Nyanza
Busoro,0.454,0.454,0.206,Nyanza
Cyabakamyi,0.404,0.423,0.171,Nyanza
Kibilizi,0.502,0.467,0.234,Nyanza
Kigoma,0.412,0.432,0.178,Nyanza
Mukingo,0.328,0.422,0.139,Nyanza
Muyira,0.45,0.448,0.201,Nyanza
Ntyazo,0.512,0.463,0.237,Nyanza
Nyagisozi,0.403,0.428,0.173,Nyanza
Rwabicuma,0.379,0.415,0.157,Nyanza
Gikonko,0.459,0.433,0.199,Gisagara
Gishubi,0.588,0.458,0.269,Gisagara
Kansi,0.367,0.411,0.151,Gisagara
Kibirizi,0.413,0.422,0.174,Gisagara
Kigembe,0.429,0.416,0.179,Gisagara
Mamba,0.49,0.452,0.221,Gisagara
Muganza,0.488,0.439,0.214,Gisagara
Mugombwa,0.373,0.421,0.157,Gisagara
Mukindo,0.449,0.428,0.192,Gisagara
Musha,0.478,0.438,0.21,Gisagara
Ndora,0.466,0.443,0.206,Gisagara
Nyanza,0.509,0.423,0.215,Gisagara
Save,0.362,0.425,0.154,Gisagara
Busanze,0.414,0.422,0.175,Nyaruguru
Cyahinda,0.345,0.41,0.142,Nyaruguru
Kibeho,0.304,0.421,0.128,Nyaruguru
Kivu,0.383,0.408,0.156,Nyaruguru
Mata,0.285,0.415,0.118,Nyaruguru
Muganza,0.406,0.404,0.164,Nyaruguru
Munini,0.333,0.414,0.138,Nyaruguru
Ngera,0.411,0.41,0.169,Nyaruguru
Ngoma,0.365,0.391,0.143,Nyaruguru
Nyabimata,0.455,0.41,0.187,Nyaruguru
Nyagisozi,0.333,0.391,0.13,Nyaruguru
Ruheru,0.43,0.422,0.181,Nyaruguru
Ruramba,0.35,0.412,0.144,Nyaruguru
Rusenge,0.433,0.432,0.187,Nyaruguru
Gishamvu,0.364,0.411,0.149,Huye
Huye,0.292,0.428,0.125,Huye
Karama,0.312,0.415,0.129,Huye
Kigoma,0.319,0.403,0.129,Huye
Kinazi,0.382,0.427,0.163,Huye
Maraba,0.325,0.415,0.135,Huye
Mbazi,0.292,0.416,0.122,Huye
Mukura,0.358,0.431,0.154,Huye
Ngoma,0.101,0.401,0.04,Huye
Ruhashya,0.391,0.422,0.165,Huye
Rusatira,0.392,0.434,0.17,Huye
Rwaniro,0.42,0.425,0.179,Huye
Simbi,0.338,0.413,0.14,Huye
Tumba,0.173,0.429,0.074,Huye
Buruhukiro,0.48,0.445,0.213,Nyamagabe
Cyanika,0.317,0.41,0.13,Nyamagabe
Gasaka,0.19,0.407,0.077,Nyamagabe
Gatare,0.472,0.435,0.205,Nyamagabe
Kaduha,0.462,0.44,0.203,Nyamagabe
Kamegeri,0.395,0.426,0.168,Nyamagabe
Kibirizi,0.323,0.417,0.135,Nyamagabe
Kibumbwe,0.407,0.435,0.177,Nyamagabe
Kitabi,0.435,0.432,0.188,Nyamagabe
Mbazi,0.288,0.39,0.112,Nyamagabe
Mugano,0.47,0.433,0.204,Nyamagabe
Musange,0.31,0.404,0.125,Nyamagabe
Musebeya,0.439,0.437,0.192,Nyamagabe
Mushubi,0.428,0.421,0.18,Nyamagabe
Nkomane,0.528,0.449,0.237,Nyamagabe
Tare,0.375,0.432,0.162,Nyamagabe
Uwinkingi,0.418,0.428,0.179,Nyamagabe
