Name,Dist_ID,District,Prov_ID,Province,Sect_ID,NO2_mean,CO_mean,SO2_mean,O3_mean
Gitega,11,Nyarugenge,1,Kigali City,1101,4.7204892769707605e-05,0.032416346823879824,-1.6278874108795395e-05,0.11869198085956659
Kanyinya,11,Nyarugenge,1,Kigali City,1102,4.5618132872663294e-05,0.03217397265440219,-4.993181286452224e-06,0.11849877372989003
Kigali,11,Nyarugenge,1,Kigali City,1103,4.5236953110950114e-05,0.03233535928314334,4.987176781277756e-05,0.11854503797853214
Kimisagara,11,Nyarugenge,1,Kigali City,1104,4.732784807820984e-05,0.03245541464251913,-1.0373426821996028e-05,0.11864960451109184
Mageregere,11,Nyarugenge,1,Kigali City,1105,4.279944990604394e-05,0.031886945488887784,1.5263555179518483e-05,0.11856191203176919
Muhima,11,Nyarugenge,1,Kigali City,1106,4.783364183349214e-05,0.03244612944894506,-1.555608505667072e-05,0.1187007678706379
Nyakabanda,11,Nyarugenge,1,Kigali City,1107,4.613305565668432e-05,0.03214830926545977,2.3581299014214376e-05,0.11862047456166763
Nyamirambo,11,Nyarugenge,1,Kigali City,1108,4.4322788528875963e-05,0.03190597077507699,5.612791488413861e-05,0.1185691520213029
Nyarugenge,11,Nyarugenge,1,Kigali City,1109,4.6945337949247754e-05,0.03226632215685583,-3.937970319450871e-06,0.11869522481604695
Rwezamenyo,11,Nyarugenge,1,Kigali City,1110,4.588830659585641e-05,0.03204763935767683,7.434501462290714e-06,0.11864124967380264
Bumbogo,12,Gasabo,1,Kigali City,1201,4.301874610443568e-05,0.031075806095967943,6.9153758117675765e-06,0.11850547627877181
Gatsata,12,Gasabo,1,Kigali City,1202,4.767222932844051e-05,0.03234168463044641,-3.253808523184595e-05,0.1186316221080601
Gikomero,12,Gasabo,1,Kigali City,1203,4.1946521105619845e-05,0.03075385558548793,-2.3388060169349255e-06,0.11842283506575335
Gisozi,12,Gasabo,1,Kigali City,1204,4.767056000036503e-05,0.0322458587878145,-3.728895065047392e-06,0.11866515479271457
Jabana,12,Gasabo,1,Kigali City,1205,4.485983180170438e-05,0.0313364609949171,1.698143320842242e-05,0.11858375086703248
Jali,12,Gasabo,1,Kigali City,1206,4.498400761115011e-05,0.031446223199540865,-2.883314088387485e-07,0.11849263332469956
Kacyiru,12,Gasabo,1,Kigali City,1207,4.781115850154883e-05,0.03234445675766369,2.3565100267664867e-05,0.11867903657530791
Kimihurura,12,Gasabo,1,Kigali City,1208,4.708270561228845e-05,0.03212950994810602,2.12078519282382e-05,0.11871233292516171
Kimironko,12,Gasabo,1,Kigali City,1209,4.546386313500543e-05,0.03215499038313895,2.4213497013209404e-05,0.11862311799157906
Kinyinya,12,Gasabo,1,Kigali City,1210,4.636025600490954e-05,0.031907646226661986,1.159535924989459e-05,0.11864403922724479
Ndera,12,Gasabo,1,Kigali City,1211,4.372119121627608e-05,0.0315882576782023,1.9928269299055267e-05,0.11852409208523743
Nduba,12,Gasabo,1,Kigali City,1212,4.3405536332224985e-05,0.03110168725679654,2.3919487290086546e-05,0.11857514510648241
Remera,12,Gasabo,1,Kigali City,1213,4.647473820432432e-05,0.03215421767332353,3.2002402109845424e-05,0.11865624368606664
Rusororo,12,Gasabo,1,Kigali City,1214,4.269022595468998e-05,0.03146931544544696,7.477441174977531e-06,0.11849669738725618
Rutunga,12,Gasabo,1,Kigali City,1215,4.1570211067195273e-05,0.030506589341599437,7.3163837569578535e-06,0.11844756361017765
Gahanga,13,Kicukiro,1,Kigali City,1301,4.2915792324999886e-05,0.03160500679927388,-3.2938453162770956e-06,0.11863563767888648
Gatenga,13,Kicukiro,1,Kigali City,1302,4.412905327084802e-05,0.031556860328490796,4.055521855314537e-05,0.11871912128563122
Gikondo,13,Kicukiro,1,Kigali City,1303,4.587247221071622e-05,0.03176028962419108,1.0534955638669317e-05,0.11870602285816743
Kagarama,13,Kicukiro,1,Kigali City,1304,4.393835400454198e-05,0.03159157317124455,5.047245297144828e-06,0.11870314086165504
Kanombe,13,Kicukiro,1,Kigali City,1305,4.2982835161475305e-05,0.03171790612313615,-9.381377475273328e-06,0.11861074464990008
Kicukiro,13,Kicukiro,1,Kigali City,1306,4.6155679300515924e-05,0.03178528847933328,1.6309683561668382e-05,0.11869518718649273
Kigarama,13,Kicukiro,1,Kigali City,1307,4.467910270075269e-05,0.03174343798252976,3.693966033545671e-05,0.11864627267055644
Masaka,13,Kicukiro,1,Kigali City,1308,4.167488567547898e-05,0.03166893436242353,-1.7275701137088824e-05,0.11853649071741788
Niboye,13,Kicukiro,1,Kigali City,1309,4.5039372450488786e-05,0.03168336806088376,2.7642101832648526e-05,0.11867942678563154
Nyarugunga,13,Kicukiro,1,Kigali City,1310,4.382096646712275e-05,0.03168147612233698,-1.0997943752339734e-05,0.1186288847111884
Busasamana,21,Nyanza,2,Southern Province,2101,4.261752611400973e-05,0.030888426201016145,9.462025149646895e-06,0.11860529576373338
Busoro,21,Nyanza,2,Southern Province,2102,4.2971915024223105e-05,0.032511571707493477,4.9514383420276635e-05,0.11860782807616231
Cyabakamyi,21,Nyanza,2,Southern Province,2103,4.160452513803587e-05,0.030909767921747985,2.020257438194747e-05,0.11862916319124386
Kibilizi,21,Nyanza,2,Southern Province,2104,4.3483288567627384e-05,0.03230431624608269,1.7704477430777125e-05,0.11864747109999126
Kigoma,21,Nyanza,2,Southern Province,2105,4.244865374606512e-05,0.031431202114887064,1.6672132258887902e-05,0.11863293319944998
Mukingo,21,Nyanza,2,Southern Province,2106,4.186523226438145e-05,0.030738575133621462,1.53834223002199e-05,0.11858445597172898
Muyira,21,Nyanza,2,Southern Province,2107,4.3023789813894175e-05,0.03170579379448886,1.1880954355339594e-05,0.11866296254120454
Ntyazo,21,Nyanza,2,Southern Province,2108,4.314460821466463e-05,0.03205591010630551,2.1206666257667306e-05,0.11864353846620312
Nyagisozi,21,Nyanza,2,Southern Province,2109,4.2104872575481924e-05,0.030701682326442183,2.6488176950406914e-05,0.11860960980693742
Rwabicuma,21,Nyanza,2,Southern Province,2110,4.2265747060539904e-05,0.030896687699396647,2.4768331362709553e-05,0.11862078654081482
