system:index,NO2_column_number_density,month,sector,year,.geo
0_00000000000000000000,4.23E-05,1,Gitega,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,4.01E-05,1,Kanyinya,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,4.05E-05,1,Kigali,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,4.19E-05,1,Kimisagara,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,3.92E-05,1,Mageregere,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,4.23E-05,1,Muhima,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,4.18E-05,1,Nyakabanda,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,3.96E-05,1,Nyamirambo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,4.23E-05,1,Nyarugenge,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,4.23E-05,1,Rwezamenyo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,3.72E-05,1,Bumbogo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,4.22E-05,1,Gatsata,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,3.92E-05,1,Gikomero,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,4.34E-05,1,Gisozi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,3.94E-05,1,Jabana,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,3.99E-05,1,Jali,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000010,4.22E-05,1,Kacyiru,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000011,4.15E-05,1,Kimihurura,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000012,3.93E-05,1,Kimironko,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000013,4.07E-05,1,Kinyinya,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014,3.81E-05,1,Ndera,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015,3.91E-05,1,Nduba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016,3.96E-05,1,Remera,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
