Table C.1: Distribution (%) of the resident population by poverty status by sector,,,,,,,,
sector,                                    Poverty status,,,,,,,
,Non-poor,Vulnerable,Moderately poor,Severely poor,Total         count,,,
Nyarugenge,,,,,,,,
  Gitega,90,7.5,2.2,0.3,100,"32,945",,
  Kanyinya,65.7,18.5,12.6,3.2,100,"34,608",,
  Kigali,68.1,17.6,11.4,3,100,"71,619",,
  Kimisagara,86.4,9.7,3.4,0.5,100,"65,713",,
  Mageregere,56.3,18.7,18.1,6.9,100,"49,847",,
  Muhima,91.7,6.4,1.7,0.2,100,"27,195",,
  Nyakabanda,89.7,7.6,2.3,0.4,100,"33,924",,
  Nyamirambo,83.7,9.9,4.7,1.6,100,"61,987",,
  Nyarugenge,90.6,7,2.2,0.2,100,"20,673",,
  Rwezamenyo,94,4.9,1,0,100,"17,286",,
Gasabo,,,,,,,,
  Bumbogo,71.3,14.4,10.9,3.4,100,"123,525",,
  Gatsata,84,11.2,3.9,0.8,100,"56,768",,
  Gikomero,38.6,25,28.7,7.8,100,"19,161",,
  Gisozi,85.9,9.1,4,0.9,100,"91,564",,
  Jabana,69.5,14.9,12.1,3.5,100,"66,461",,
  Jali,60.2,17.7,17,5,100,"43,313",,
  Kacyiru,93,5.4,1.4,0.1,100,"35,660",,
  Kimihurura,91.5,6.8,1.6,0.1,100,"21,401",,
  Kimironko,91.7,6,1.9,0.3,100,"70,424",,
  Kinyinya,84.5,10.5,4.2,0.8,100,"146,389",,
  Ndera,73,13.7,9.9,3.4,100,"113,105",,
  Nduba,62.5,16.6,16,4.9,100,"71,155",,
  Remera,90.8,6.7,2.1,0.4,100,"49,371",,
  Rusororo,68.5,14.7,12,4.7,100,"66,577",,
  Rutunga,40.8,25.6,26.1,7.5,100,"22,460",,
Kicukiro,,,,,,,,
  Gahanga,72.8,14.7,9.2,3.3,100,"91,500",,
  Gatenga,85.4,9.2,4.2,1.2,100,"76,266",,
  Gikondo,91.8,5.9,1.9,0.3,100,"18,466",,
  Kagarama,90.2,6.9,2.6,0.4,100,"21,609",,
  Kanombe,83.7,9.9,5.1,1.3,100,"79,728",,
  Kicukiro,93.3,5.3,1.2,0.2,100,"17,982",,
  Kigarama,86.4,8.8,3.9,0.8,100,"70,740",,
  Masaka,74.5,14.2,9,2.4,100,"85,335",,
