province,district,area_sqkm,total_road_length_m,road_density_m_km2,road_coverage_index,major_roads_ratio,major_roads_exposure_index,pct_within_1km,pct_within_5km,pct_within_10km,urban_rural_type,AQI_mean,AQI_median,AQI_std,AQI_min,AQI_max,AQI_count,AQI_cv,avg_yoy_change,avg_yoy_pct_change,population_density,urban_percentage,rural_percentage,road_density_m_km2_scaled,road_coverage_index_scaled,major_roads_ratio_scaled,major_roads_exposure_index_scaled,population_density_scaled,AQI_mean_scaled
Kigali City,Nyarugenge,132.70559943229387,763869.3810992732,5756.12019663871,0.9697885739613764,0.161909313951972,0.6706687018312452,77.74168789875819,100.0,100.0,urban,64.91956487886722,72.05839121673573,17.794908397644885,25.80631446565451,91.07929486328223,61,0.2741070189063687,6.774134653797269,14.233938525835049,2830,84.4,15.6,1.5264016504789892,0.7548828136215694,2.1444195481902124,2.0864573394837085,3.2001083979708147,1.565443571725125
Kigali City,Gasabo,429.96028788880807,2893695.5618002675,6730.14611653764,0.9964080939177888,0.0833720232929604,0.5818498479290222,59.09664026889564,99.9999999999998,99.9999999999998,urban,63.87955738099554,70.913697805458,18.025898524726266,24.68096658961764,89.47611565928585,61,0.2821857142374166,7.213546283102663,15.301854128114604,2056,81.2,18.8,2.262711909302795,1.0220435866404929,-0.665797770903603,0.7920942381045831,1.9875219209026278,1.1199608973785646
Kigali City,Kicukiro,167.29087425082204,1372616.785599945,8204.971082534708,0.9381191077163572,0.1055979445063112,0.6437589397861747,74.87987326693762,99.99999999999991,99.99999999999991,urban,64.00455890507955,70.91954261079931,19.08070833662326,17.893731092916244,91.75746362796268,61,0.29811483217813367,6.844213011875378,15.296718044993899,2944,99.1,0.9,3.3775988237555366,0.43703940033049377,0.12948900563872287,1.694299576489202,3.3787064062211676,1.1735047548606476
Southern Province,Nyanza,673.4260231024618,2501284.979717128,3714.268373820412,0.9676029163643868,0.1119761526831798,0.5563743033144539,49.36634538481545,99.99964222030798,99.99999999999942,rural,58.93319746416568,65.22113477835703,18.895673402866855,16.430061715404623,84.84235046177432,61,0.3206286815568825,6.8268816280979365,17.025557734083385,545,9.2,90.8,-0.017126517945116326,0.7329469569974619,0.3577137245336477,0.4208374216978412,-0.3796850130121401,-0.9987907929115386
Southern Province,Gisagara,681.595136797899,2304139.2990180906,3380.510180637182,0.9467148941244652,0.0785403373585527,0.5244439723325826,43.12519297427445,99.97318843574104,100.0,rural,57.92513179757263,63.695357604175115,18.36545941057986,15.93853032388243,82.49875448406743,61,0.31705511650384316,7.636062805107836,18.401140672858812,584,3.4,96.6,-0.26942943574920286,0.5233090605368375,-0.8386849099856856,-0.04448542837242509,-0.31858569440017714,-1.430591323186397
Southern Province,Nyaruguru,1014.0541135776566,3261338.412858898,3216.1384379701976,0.7753336581387851,0.0909635442724279,0.4870220229285629,39.79697240743707,86.06756267943703,99.78691042427644,rural,59.116321605313885,64.56313000001128,16.718001871146463,21.179381835605316,81.05584383746259,61,0.2827984119641792,5.535312421693421,13.063972438950099,409,2.4,97.6,-0.3936854723842504,-1.1967198341180891,-0.3941583553374423,-0.5898380011894819,-0.592749303556421,-0.9203503659885923
Southern Province,Huye,582.4900518423296,2766192.17541074,4748.908872626553,0.9869336123571862,0.1003216981102106,0.575523982787221,55.83642095833083,99.99999999999996,99.99999999999996,peri-urban,58.1392358671371,63.58486838346594,17.41842642670888,21.18440177482105,81.56486701780572,61,0.29959847539989004,6.291728129435119,15.46588248091932,627,20.9,79.1,0.7650050433428941,0.9269551018808577,-0.05930537315523009,0.6999069820872771,-0.2512197790075001,-1.3388807790862325
Southern Province,Nyamagabe,1094.246929120571,3060827.541271872,2797.2000284540995,0.7835010648542666,0.122637761391606,0.5318040387224683,43.707663733055824,96.20756535204342,100.0,rural,58.92467451331848,64.28774487067882,15.916698260889076,22.93325731466218,77.89281938358633,61,0.2701194090990099,5.530164688755467,12.952338163695885,441,10.9,89.1,-0.7103799693582528,-1.1147495095126536,0.7392068622572989,0.06277331163852122,-0.5426165293107078,-1.0024415617228264
Southern Province,Ruhango,627.3825311708979,2194314.6600088445,3497.570542669632,0.9818738232497874,0.0900627052164489,0.5270705931071114,43.05454364252771,99.69565656825256,99.9999999999996,rural,60.998753924002315,66.79781028836605,18.12539174656987,23.15013645146358,86.36030572208354,61,0.29714363951027756,6.629260864435075,15.630349986990089,573,10.9,89.1,-0.1809382121531561,0.8761736763908854,-0.4263921323825361,-0.006207508060498566,-0.33581883554714104,-0.1140186949940539
Southern Province,Muhanga,648.1771068992582,2640334.94620779,4073.4776315050567,0.9796573167381424,0.1148174559968777,0.5689079418976232,52.70363002815998,100.0,100.0,peri-urban,60.843543701647356,67.41376507888411,16.67325342940895,27.668944370416597,83.09341623177738,61,0.27403488381886465,6.351031110526999,14.263915483642979,555,24.3,75.7,0.2544160109489122,0.8539282116333616,0.4593810944410194,0.6034909754797368,-0.3640185210603547,-0.1805023165853504
Southern Province,Kamonyi,661.1925218404517,2598125.6083887108,3929.454013116695,0.9760293123396176,0.0702253368129446,0.5127925383348789,40.56405559127139,99.88130605787896,100.0,peri-urban,60.5940535709211,66.425073619957,17.88655069404972,19.82953263521326,86.386352729302,61,0.29518656765741486,6.634017049231606,15.185250727473663,683,31.6,68.4,0.14554204202693577,0.8175165685529072,-1.136211834399155,-0.2142825556961362,-0.1634874240775021,-0.2873703256011085
Western Province,Karongi,791.1296619434174,2575760.6151425987,3255.800836509174,0.9540758895729958,0.1425952505139586,0.5849253780921035,54.899086553690445,99.99999999999984,99.99999999999984,rural,58.07424322337086,64.7937895168162,17.57117584587057,19.298510523033787,78.97321282460334,61,0.3025640089408757,5.690032432187932,14.862610580957886,482,9.0,91.0,-0.3637028709593961,0.5971860214075947,1.453324717694503,0.8369141449754082,-0.47838391230838784,-1.3667200944922189
Western Province,Rutsiro,663.88088418405,2369742.535703045,3569.529703533492,0.9365955204226336,0.0996114968346665,0.5233316558957204,41.73454267061985,98.8976222772176,99.78021479713864,rural,62.968892673982545,69.74824634688966,15.906308628211352,28.70158520731474,84.54198852671162,61,0.25260581777363084,5.602620708975548,11.983816252929593,565,5.6,94.4,-0.1265410269469239,0.4217482621048793,-0.08471775888727555,-0.06069529023933045,-0.3483520291085693,0.7298816431968479
