sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poor_percent,avg_deprivation_intensity,poverty_index
  Gitega,90.0,7.5,2.2,0.3,100,32945,Nyarugenge,0.025,0.394,0.01
  Kanyinya,65.7,18.5,12.6,3.2,100,34608,Nyarugenge,0.157,0.41,0.065
  Kigali,68.1,17.6,11.4,3.0,100,71619,Nyarugenge,0.143,0.411,0.059
  Kimisagara,86.4,9.7,3.4,0.5,100,65713,Nyarugenge,0.039,0.398,0.015
  Mageregere,56.3,18.7,18.1,6.9,100,49847,Nyarugenge,0.25,0.426,0.107
  Muhima,91.7,6.4,1.7,0.2,100,27195,Nyarugenge,0.019,0.387,0.007
  Nyakabanda,89.7,7.6,2.3,0.4,100,33924,Nyarugenge,0.027,0.396,0.01
  Nyamirambo,83.7,9.9,4.7,1.6,100,61987,Nyarugenge,0.063,0.426,0.027
  Nyarugenge,90.6,7.0,2.2,0.2,100,20673,Nyarugenge,0.024,0.386,0.009
  Rwezamenyo,94.0,4.9,1.0,0.0,100,17286,Nyarugenge,0.011,0.374,0.004
  Bumbogo,71.3,14.4,10.9,3.4,100,123525,Gasabo,0.143,0.421,0.06
  Gatsata,84.0,11.2,3.9,0.8,100,56768,Gasabo,0.048,0.409,0.02
  Gikomero,38.6,25.0,28.7,7.8,100,19161,Gasabo,0.365,0.428,0.156
  Gisozi,85.9,9.1,4.0,0.9,100,91564,Gasabo,0.05,0.406,0.02
  Jabana,69.5,14.9,12.1,3.5,100,66461,Gasabo,0.156,0.416,0.065
  Jali,60.2,17.7,17.0,5.0,100,43313,Gasabo,0.22,0.419,0.092
  Kacyiru,93.0,5.4,1.4,0.1,100,35660,Gasabo,0.016,0.385,0.006
  Kimihurura,91.5,6.8,1.6,0.1,100,21401,Gasabo,0.017,0.378,0.007
  Kimironko,91.7,6.0,1.9,0.3,100,70424,Gasabo,0.022,0.395,0.009
  Kinyinya,84.5,10.5,4.2,0.8,100,146389,Gasabo,0.05,0.404,0.02
  Ndera,73.0,13.7,9.9,3.4,100,113105,Gasabo,0.133,0.429,0.057
  Nduba,62.5,16.6,16.0,4.9,100,71155,Gasabo,0.208,0.425,0.088
  Remera,90.8,6.7,2.1,0.4,100,49371,Gasabo,0.025,0.404,0.01
  Rusororo,68.5,14.7,12.0,4.7,100,66577,Gasabo,0.167,0.438,0.073
  Rutunga,40.8,25.6,26.1,7.5,100,22460,Gasabo,0.336,0.427,0.143
  Gahanga,72.8,14.7,9.2,3.3,100,91500,Kicukiro,0.125,0.427,0.053
  Gatenga,85.4,9.2,4.2,1.2,100,76266,Kicukiro,0.054,0.414,0.022
  Gikondo,91.8,5.9,1.9,0.3,100,18466,Kicukiro,0.023,0.402,0.009
  Kagarama,90.2,6.9,2.6,0.4,100,21609,Kicukiro,0.03,0.4,0.012
  Kanombe,83.7,9.9,5.1,1.3,100,79728,Kicukiro,0.064,0.409,0.026
  Kicukiro,93.3,5.3,1.2,0.2,100,17982,Kicukiro,0.014,0.397,0.005
  Kigarama,86.4,8.8,3.9,0.8,100,70740,Kicukiro,0.048,0.407,0.019
  Masaka,74.5,14.2,9.0,2.4,100,85335,Kicukiro,0.113,0.415,0.047
  Niboye,94.2,4.3,1.4,0.1,100,30306,Kicukiro,0.015,0.378,0.006
  Nyarugunga,94.1,4.1,1.6,0.3,100,49735,Kicukiro,0.018,0.384,0.007
  Busasamana,59.0,18.5,17.3,5.1,100,54321,Nyanza,0.225,0.42,0.095
  Busoro,33.7,21.0,29.7,15.6,100,40338,Nyanza,0.454,0.454,0.206
  Cyabakamyi,30.6,29.0,32.5,7.9,100,24979,Nyanza,0.404,0.423,0.171
  Kibilizi,27.1,22.7,32.1,18.1,100,41150,Nyanza,0.502,0.467,0.234
  Kigoma,36.3,22.5,30.2,10.9,100,42249,Nyanza,0.412,0.432,0.178
  Mukingo,42.9,24.3,25.8,7.0,100,40510,Nyanza,0.328,0.422,0.139
  Muyira,30.3,24.8,31.5,13.4,100,43489,Nyanza,0.45,0.448,0.201
  Ntyazo,26.5,22.3,33.0,18.2,100,34064,Nyanza,0.512,0.463,0.237
  Nyagisozi,30.4,29.2,32.1,8.2,100,28846,Nyanza,0.403,0.428,0.173
  Rwabicuma,35.6,26.6,30.9,6.9,100,21952,Nyanza,0.379,0.415,0.157
  Gikonko,32.2,21.9,34.5,11.5,100,28794,Gisagara,0.459,0.433,0.199
