sector,district,non_poor,vulnerable,moderately_poor,severely_poor,poverty_rate,poverty_index,count
Rwezamenyo,Nyarugenge,94.0,4.9,1.0,0.0,1.0,10.68,17286
Kicukiro,Kicukiro,93.3,5.3,1.2,0.2,1.4,10.83,17982
Kacyiru,Gasabo,93.0,5.4,1.4,0.1,1.5,10.84,35660
Niboye,Kicukiro,94.2,4.3,1.4,0.1,1.5,10.74,30306
Kimihurura,Gasabo,91.5,6.8,1.6,0.1,1.7000000000000002,11.03,21401
Muhima,Nyarugenge,91.7,6.4,1.7,0.2,1.9,11.040000000000001,27195
Nyarugunga,Kicukiro,94.1,4.1,1.6,0.3,1.9000000000000001,10.83,49735
Gikondo,Kicukiro,91.8,5.9,1.9,0.3,2.1999999999999997,11.05,18466
Kimironko,Gasabo,91.7,6.0,1.9,0.3,2.1999999999999997,11.059999999999999,70424
Nyarugenge,Nyarugenge,90.6,7.0,2.2,0.2,2.4000000000000004,11.2,20673
