Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_index,affluence_index,poor_population,severely_poor_population,non_poor_population
1.0,Kigali City,11.0,Nyarugenge,1101.0,Gitega,gitega,Gitega,90.0,7.5,2.2,0.3,100,32945,Nyarugenge,2.5,11.28,62.5,823.625,98.835,29650.5
1.0,Kigali City,11.0,Nyarugenge,1102.0,Kanyinya,kanyinya,Kanyinya,65.7,18.5,12.6,3.2,100,34608,Nyarugenge,15.8,15.330000000000002,49.96666666666667,5468.064,1107.4560000000001,22737.456000000002
1.0,Kigali City,11.0,Nyarugenge,1103.0,Kigali,kigali,Kigali,68.1,17.6,11.4,3.0,100,71619,Nyarugenge,14.4,14.95,51.26666666666666,10313.136,2148.57,48772.539
1.0,Kigali City,11.0,Nyarugenge,1104.0,Kimisagara,kimisagara,Kimisagara,86.4,9.7,3.4,0.5,100,65713,Nyarugenge,3.9,11.8,60.833333333333336,2562.807,328.565,56776.032
1.0,Kigali City,11.0,Nyarugenge,1105.0,Mageregere,mageregere,Mageregere,56.3,18.7,18.1,6.9,100,49847,Nyarugenge,25.0,17.560000000000002,43.76666666666666,12461.75,3439.4430000000007,28063.860999999997
1.0,Kigali City,11.0,Nyarugenge,1106.0,Muhima,muhima,Muhima,91.7,6.4,1.7,0.2,100,27195,Nyarugenge,1.9,11.040000000000001,63.26666666666667,516.705,54.39,24937.815
1.0,Kigali City,11.0,Nyarugenge,1107.0,Nyakabanda,nyakabanda,Nyakabanda,89.7,7.6,2.3,0.4,100,33924,Nyarugenge,2.6999999999999997,11.34,62.333333333333336,915.9479999999999,135.696,30429.828
1.0,Kigali City,11.0,Nyarugenge,1108.0,Nyamirambo,nyamirambo,Nyamirambo,83.7,9.9,4.7,1.6,100,61987,Nyarugenge,6.300000000000001,12.4,59.1,3905.1810000000005,991.7920000000001,51883.119000000006
1.0,Kigali City,11.0,Nyarugenge,1109.0,Nyarugenge,nyarugenge,Nyarugenge,90.6,7.0,2.2,0.2,100,20673,Nyarugenge,2.4000000000000004,11.2,62.73333333333333,496.15200000000004,41.346000000000004,18729.737999999998
1.0,Kigali City,11.0,Nyarugenge,1109.0,Nyarugenge,nyarugenge,Nyarugenge,32.0,24.0,31.0,13.0,100,25347,Bugesera,44.0,22.5,29.333333333333332,11152.68,3295.11,8111.04
1.0,Kigali City,11.0,Nyarugenge,1110.0,Rwezamenyo,rwezamenyo,Rwezamenyo,94.0,4.9,1.0,0.0,100,17286,Nyarugenge,1.0,10.68,64.3,172.86,0.0,16248.84
1.0,Kigali City,12.0,Gasabo,1201.0,Bumbogo,bumbogo,Bumbogo,71.3,14.4,10.9,3.4,100,123525,Gasabo,14.3,14.64,52.333333333333336,17664.075,4199.85,88073.325
1.0,Kigali City,12.0,Gasabo,1202.0,Gatsata,gatsata,Gatsata,84.0,11.2,3.9,0.8,100,56768,Gasabo,4.7,12.129999999999999,59.73333333333333,2668.0960000000005,454.144,47685.12
1.0,Kigali City,12.0,Gasabo,1203.0,Gikomero,gikomero,Gikomero,38.6,25.0,28.7,7.8,100,19161,Gasabo,36.5,20.59,34.06666666666667,6993.765,1494.558,7396.146
1.0,Kigali City,12.0,Gasabo,1204.0,Gisozi,gisozi,Gisozi,85.9,9.1,4.0,0.9,100,91564,Gasabo,4.9,11.97,60.300000000000004,4486.636,824.076,78653.47600000001
1.0,Kigali City,12.0,Gasabo,1205.0,Jabana,jabana,Jabana,69.5,14.9,12.1,3.5,100,66461,Gasabo,15.6,14.959999999999999,51.300000000000004,10367.916,2326.135,46190.395
1.0,Kigali City,12.0,Gasabo,1206.0,Jali,jali,Jali,60.2,17.7,17.0,5.0,100,43313,Gasabo,22.0,16.660000000000004,46.03333333333333,9528.86,2165.65,26074.426
1.0,Kigali City,12.0,Gasabo,1207.0,Kacyiru,kacyiru,Kacyiru,93.0,5.4,1.4,0.1,100,35660,Gasabo,1.5,10.84,63.800000000000004,534.9,35.66,33163.8
1.0,Kigali City,12.0,Gasabo,1208.0,Kimihurura,kimihurura,Kimihurura,91.5,6.8,1.6,0.1,100,21401,Gasabo,1.7000000000000002,11.03,63.26666666666667,363.81700000000006,21.401,19581.915
1.0,Kigali City,12.0,Gasabo,1209.0,Kimironko,kimironko,Kimironko,91.7,6.0,1.9,0.3,100,70424,Gasabo,2.1999999999999997,11.059999999999999,63.13333333333333,1549.328,211.27200000000002,64578.808
1.0,Kigali City,12.0,Gasabo,1210.0,Kinyinya,kinyinya,Kinyinya,84.5,10.5,4.2,0.8,100,146389,Gasabo,5.0,12.129999999999999,59.833333333333336,7319.45,1171.112,123698.705
1.0,Kigali City,12.0,Gasabo,1211.0,Ndera,ndera,Ndera,73.0,13.7,9.9,3.4,100,113105,Gasabo,13.3,14.37,53.23333333333333,15042.965,3845.57,82566.65
1.0,Kigali City,12.0,Gasabo,1212.0,Nduba,nduba,Nduba,62.5,16.6,16.0,4.9,100,71155,Gasabo,20.9,16.330000000000002,47.199999999999996,14871.395,3486.595,44471.875
1.0,Kigali City,12.0,Gasabo,1213.0,Remera,remera,Remera,90.8,6.7,2.1,0.4,100,49371,Gasabo,2.5,11.209999999999999,62.76666666666666,1234.275,197.484,44828.867999999995
1.0,Kigali City,12.0,Gasabo,1213.0,Remera,remera,Remera,51.1,23.5,23.3,2.1,100,19805,Musanze,25.400000000000002,17.64,41.9,5030.47,415.905,10120.355
1.0,Kigali City,12.0,Gasabo,1213.0,Remera,remera,Remera,35.4,23.3,30.7,10.7,100,32297,Gatsibo,41.4,21.689999999999998,31.366666666666664,13370.958,3455.7789999999995,11433.138
1.0,Kigali City,12.0,Gasabo,1213.0,Remera,remera,Remera,48.1,20.0,24.4,7.5,100,33049,Ngoma,31.9,19.13,38.733333333333334,10542.631,2478.675,15896.569000000001
1.0,Kigali City,12.0,Gasabo,1214.0,Rusororo,rusororo,Rusororo,68.5,14.7,12.0,4.7,100,66577,Gasabo,16.7,15.27,50.56666666666666,11118.358999999999,3129.119,45605.245
1.0,Kigali City,12.0,Gasabo,1215.0,Rutunga,rutunga,Rutunga,40.8,25.6,26.1,7.5,100,22460,Gasabo,33.6,20.03,35.73333333333333,7546.56,1684.5,9163.679999999998
1.0,Kigali City,13.0,Kicukiro,1301.0,Gahanga,gahanga,Gahanga,72.8,14.7,9.2,3.3,100,91500,Kicukiro,12.5,14.3,53.43333333333333,11437.5,3019.5,66612.0
1.0,Kigali City,13.0,Kicukiro,1302.0,Gatenga,gatenga,Gatenga,85.4,9.2,4.2,1.2,100,76266,Kicukiro,5.4,12.120000000000001,60.0,4118.3640000000005,915.192,65131.164000000004
1.0,Kigali City,13.0,Kicukiro,1303.0,Gikondo,gikondo,Gikondo,91.8,5.9,1.9,0.3,100,18466,Kicukiro,2.1999999999999997,11.05,63.166666666666664,406.25199999999995,55.398,16951.788
1.0,Kigali City,13.0,Kicukiro,1304.0,Kagarama,kagarama,Kagarama,90.2,6.9,2.6,0.4,100,21609,Kicukiro,3.0,11.34,62.43333333333334,648.27,86.436,19491.318
1.0,Kigali City,13.0,Kicukiro,1305.0,Kanombe,kanombe,Kanombe,83.7,9.9,5.1,1.3,100,79728,Kicukiro,6.3999999999999995,12.4,59.1,5102.592,1036.4640000000002,66732.33600000001
1.0,Kigali City,13.0,Kicukiro,1306.0,Kicukiro,kicukiro,Kicukiro,93.3,5.3,1.2,0.2,100,17982,Kicukiro,1.4,10.83,63.96666666666667,251.748,35.964,16777.206
1.0,Kigali City,13.0,Kicukiro,1307.0,Kigarama,kigarama,Kigarama,86.4,8.8,3.9,0.8,100,70740,Kicukiro,4.7,11.89,60.53333333333334,3324.78,565.92,61119.36
1.0,Kigali City,13.0,Kicukiro,1307.0,Kigarama,kigarama,Kigarama,34.7,24.3,32.6,8.4,100,37679,Kirehe,41.0,21.47,31.233333333333334,15448.39,3165.0360000000005,13074.613000000001
1.0,Kigali City,13.0,Kicukiro,1308.0,Masaka,masaka,Masaka,74.5,14.2,9.0,2.4,100,85335,Kicukiro,11.4,13.95,54.4,9728.19,2048.04,63574.575
1.0,Kigali City,13.0,Kicukiro,1309.0,Niboye,niboye,Niboye,94.2,4.3,1.4,0.1,100,30306,Kicukiro,1.5,10.74,64.23333333333333,454.59,30.306000000000004,28548.252
1.0,Kigali City,13.0,Kicukiro,1310.0,Nyarugunga,nyarugunga,Nyarugunga,94.1,4.1,1.6,0.3,100,49735,Kicukiro,1.9000000000000001,10.83,64.1,944.965,149.205,46800.635
2.0,Southern Province,21.0,Nyanza,2101.0,Busasamana,busasamana,Busasamana,59.0,18.5,17.3,5.1,100,54321,Nyanza,22.4,16.830000000000002,45.5,12167.903999999999,2770.3709999999996,32049.39
2.0,Southern Province,21.0,Nyanza,2101.0,Busasamana,busasamana,Busasamana,27.5,19.5,35.2,17.8,100,36619,Rubavu,53.0,24.330000000000002,24.833333333333332,19408.07,6518.182000000001,10070.225
2.0,Southern Province,21.0,Nyanza,2102.0,Busoro,busoro,Busoro,33.7,21.0,29.7,15.6,100,40338,Nyanza,45.3,22.72,29.46666666666667,18273.113999999998,6292.727999999999,13593.906
2.0,Southern Province,21.0,Nyanza,2103.0,Cyabakamyi,cyabakamyi,Cyabakamyi,30.6,29.0,32.5,7.9,100,24979,Nyanza,40.4,21.77,30.066666666666666,10091.516,1973.3410000000001,7643.5740000000005
2.0,Southern Province,21.0,Nyanza,2104.0,Kibilizi,kibilizi,Kibilizi,27.1,22.7,32.1,18.1,100,41150,Nyanza,50.2,24.12,25.633333333333336,20657.300000000003,7448.1500000000015,11151.65
2.0,Southern Province,21.0,Nyanza,2105.0,Kigoma,kigoma,Kigoma,36.3,22.5,30.2,10.9,100,42249,Nyanza,41.1,21.55,31.7,17364.339,4605.1410000000005,15336.386999999999
2.0,Southern Province,21.0,Nyanza,2105.0,Kigoma,kigoma,Kigoma,42.1,26.0,27.0,4.9,100,26579,Huye,31.9,19.47,36.733333333333334,8478.701,1302.371,11189.759000000002
2.0,Southern Province,21.0,Nyanza,2106.0,Mukingo,mukingo,Mukingo,42.9,24.3,25.8,7.0,100,40510,Nyanza,32.8,19.69,36.699999999999996,13287.28,2835.7,17378.79
2.0,Southern Province,21.0,Nyanza,2107.0,Muyira,muyira,Muyira,30.3,24.8,31.5,13.4,100,43489,Nyanza,44.9,22.8,28.46666666666667,19526.560999999998,5827.526,13177.167
2.0,Southern Province,21.0,Nyanza,2108.0,Ntyazo,ntyazo,Ntyazo,26.5,22.3,33.0,18.2,100,34064,Nyanza,51.2,24.29,25.099999999999998,17440.768,6199.647999999999,9026.96
2.0,Southern Province,21.0,Nyanza,2109.0,Nyagisozi,nyagisozi,Nyagisozi,30.4,29.2,32.1,8.2,100,28846,Nyanza,40.3,21.790000000000003,30.0,11624.937999999998,2365.372,8769.184
2.0,Southern Province,21.0,Nyanza,2109.0,Nyagisozi,nyagisozi,Nyagisozi,48.1,18.7,28.5,4.8,100,18554,Nyaruguru,33.3,19.02,38.300000000000004,6178.482,890.592,8924.474
2.0,Southern Province,21.0,Nyanza,2110.0,Rwabicuma,rwabicuma,Rwabicuma,35.6,26.6,30.9,6.9,100,21952,Nyanza,37.8,20.91,32.6,8297.856,1514.688,7814.912
2.0,Southern Province,22.0,Gisagara,2201.0,Gikonko,gikonko,Gikonko,32.2,21.9,34.5,11.5,100,28794,Gisagara,46.0,22.55,28.76666666666667,13245.24,3311.31,9271.668
2.0,Southern Province,22.0,Gisagara,2202.0,Gishubi,gishubi,Gishubi,21.3,19.9,38.9,20.0,100,31209,Gisagara,58.9,25.78,20.833333333333332,18382.101,6241.8,6647.517000000001
2.0,Southern Province,22.0,Gisagara,2203.0,Kansi,kansi,Kansi,40.6,22.7,29.7,7.0,100,23524,Gisagara,36.7,20.31,34.63333333333333,8633.308,1646.68,9550.744
2.0,Southern Province,22.0,Gisagara,2204.0,Kibirizi,kibirizi,Kibirizi,36.8,22.0,32.1,9.1,100,34480,Gisagara,41.2,21.35,31.866666666666664,14205.76,3137.68,12688.64
2.0,Southern Province,22.0,Gisagara,2204.0,Kibirizi,kibirizi,Kibirizi,34.2,33.5,27.8,4.6,100,22044,Nyamagabe,32.4,20.3,33.96666666666667,7142.255999999999,1014.0239999999999,7539.048000000001
2.0,Southern Province,22.0,Gisagara,2205.0,Kigembe,kigembe,Kigembe,32.8,24.3,35.6,7.3,100,23360,Gisagara,42.9,21.74,29.966666666666665,10021.44,1705.28,7662.079999999999
2.0,Southern Province,22.0,Gisagara,2206.0,Mamba,mamba,Mamba,30.1,20.9,32.3,16.7,100,44880,Gisagara,49.0,23.56,27.03333333333333,21991.2,7494.96,13508.88
2.0,Southern Province,22.0,Gisagara,2207.0,Muganza,muganza,Muganza,29.8,21.4,34.8,14.0,100,36715,Gisagara,48.8,23.3,27.0,17916.92,5140.1,10941.07
