Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_score,poor_population,severely_poor_population
1.0,Kigali City,11.0,Nyarugenge,1101.0,Gitega,gitega,Gitega,90.0,7.5,2.2,0.3,100,32945,Nyarugenge,2.5,2.1333333333333333,823.625,98.835
1.0,Kigali City,11.0,Nyarugenge,1102.0,Kanyinya,kanyinya,Kanyinya,65.7,18.5,12.6,3.2,100,34608,Nyarugenge,15.8,8.883333333333333,5468.064,1107.4560000000001
1.0,Kigali City,11.0,Nyarugenge,1103.0,Kigali,kigali,Kigali,68.1,17.6,11.4,3.0,100,71619,Nyarugenge,14.4,8.233333333333334,10313.136,2148.57
1.0,Kigali City,11.0,Nyarugenge,1104.0,Kimisagara,kimisagara,Kimisagara,86.4,9.7,3.4,0.5,100,65713,Nyarugenge,3.9,3.0,2562.807,328.565
1.0,Kigali City,11.0,Nyarugenge,1105.0,Mageregere,mageregere,Mageregere,56.3,18.7,18.1,6.9,100,49847,Nyarugenge,25.0,12.600000000000001,12461.75,3439.4430000000007
1.0,Kigali City,11.0,Nyarugenge,1106.0,Muhima,muhima,Muhima,91.7,6.4,1.7,0.2,100,27195,Nyarugenge,1.9,1.7333333333333334,516.705,54.39
1.0,Kigali City,11.0,Nyarugenge,1107.0,Nyakabanda,nyakabanda,Nyakabanda,89.7,7.6,2.3,0.4,100,33924,Nyarugenge,2.6999999999999997,2.233333333333333,915.9479999999999,135.696
1.0,Kigali City,11.0,Nyarugenge,1108.0,Nyamirambo,nyamirambo,Nyamirambo,83.7,9.9,4.7,1.6,100,61987,Nyarugenge,6.300000000000001,4.016666666666667,3905.1810000000005,991.7920000000001
1.0,Kigali City,11.0,Nyarugenge,1109.0,Nyarugenge,nyarugenge,Nyarugenge,90.6,7.0,2.2,0.2,100,20673,Nyarugenge,2.4000000000000004,2.0,496.15200000000004,41.346000000000004
1.0,Kigali City,11.0,Nyarugenge,1109.0,Nyarugenge,nyarugenge,Nyarugenge,32.0,24.0,31.0,13.0,100,25347,Bugesera,44.0,20.833333333333332,11152.68,3295.11
1.0,Kigali City,11.0,Nyarugenge,1110.0,Rwezamenyo,rwezamenyo,Rwezamenyo,94.0,4.9,1.0,0.0,100,17286,Nyarugenge,1.0,1.1500000000000001,172.86,0.0
1.0,Kigali City,12.0,Gasabo,1201.0,Bumbogo,bumbogo,Bumbogo,71.3,14.4,10.9,3.4,100,123525,Gasabo,14.3,7.733333333333333,17664.075,4199.85
