sector,district,count,area_sqkm,population_density,non_poor,vulnerable,moderately_poor,severely_poor,poverty_rate,poverty_index,urban_rural_class,distance_to_major_road_km,road_density_km_per_sqkm,vulnerability_index,vulnerability_category
Gitega,Nyarugenge,32945,1.1734335339460493,28075.72738202887,90.0,7.5,2.2,0.3,2.5,11.28,Urban,,19.638978133106047,,
Kanyinya,Nyarugenge,34608,24.16960703303324,1431.880954982029,65.7,18.5,12.6,3.2,15.8,15.330000000000002,Urban,,3.491912054937927,,
Kigali,Nyarugenge,71619,29.377588759583944,2437.8787716754155,68.1,17.6,11.4,3.0,14.4,14.95,Urban,,5.41281392199492,,
Kimisagara,Nyarugenge,65713,3.3121500383490226,19839.982862840163,86.4,9.7,3.4,0.5,3.9,11.8,Urban,,14.29857689337444,,
Mageregere,Nyarugenge,49847,54.6402733604726,912.2758166151469,56.3,18.7,18.1,6.9,25.0,17.560000000000002,Urban,,3.1844377555483496,,
Muhima,Nyarugenge,27195,2.9430287907138086,9240.480448512386,91.7,6.4,1.7,0.2,1.9,11.040000000000001,Urban,0.09028402970285643,14.659087471773995,0.30373429334888213,Very Low
Nyakabanda,Nyarugenge,33924,2.4238978186912754,13995.639477210487,89.7,7.6,2.3,0.4,2.6999999999999997,11.34,Urban,,11.181608135844886,,
Nyamirambo,Nyarugenge,61987,8.74426047967889,7088.87848710064,83.7,9.9,4.7,1.6,6.300000000000001,12.4,Urban,,9.973060861928488,,
Nyarugenge,Nyarugenge,20673,4.625551648432881,4469.30476000715,90.6,7.0,2.2,0.2,2.4000000000000004,11.2,Urban,,16.554985638692735,,
Nyarugenge,Bugesera,25347,4.625551648432881,5479.778829966684,32.0,24.0,31.0,13.0,44.0,22.5,Urban,,16.554985638692735,,
Rwezamenyo,Nyarugenge,17286,1.0266140697423578,16837.875604352615,94.0,4.9,1.0,0.0,1.0,10.68,Urban,,14.429970543451228,,
Bumbogo,Gasabo,123525,60.59142667419423,2038.6547533235268,71.3,14.4,10.9,3.4,14.3,14.64,Urban,,5.391115173446457,,
Gatsata,Gasabo,56768,6.021112406471054,9428.158148814808,84.0,11.2,3.9,0.8,4.7,12.129999999999999,Urban,,8.642067477330365,,
Gikomero,Gasabo,19161,35.054716411102035,546.6026247450001,38.6,25.0,28.7,7.8,36.5,20.59,Urban,,4.059303869400992,,
