Dist_ID,District,Name,Prov_ID,Province,Sect_ID,mean,date
11,Nyarugenge,Gitega,1,Kigali City,1101,4.4972435934143935e-05,2023-01
11,Nyarugenge,Kanyinya,1,Kigali City,1102,4.2681652951438286e-05,2023-01
11,Nyarugenge,Kigali,1,Kigali City,1103,4.352332175752549e-05,2023-01
11,Nyarugenge,Kimisagara,1,Kigali City,1104,4.584440782130811e-05,2023-01
11,Nyarugenge,Mageregere,1,Kigali City,1105,3.6639768465236174e-05,2023-01
11,Nyarugenge,Muhima,1,Kigali City,1106,4.474949235205861e-05,2023-01
11,Nyarugenge,Nyakabanda,1,Kigali City,1107,4.560760422415764e-05,2023-01
11,Nyarugenge,Nyamirambo,1,Kigali City,1108,4.0901926833887165e-05,2023-01
11,Nyarugenge,Nyarugenge,1,Kigali City,1109,4.4390173797017576e-05,2023-01
11,Nyarugenge,Rwezamenyo,1,Kigali City,1110,4.4353283394095856e-05,2023-01
12,Gasabo,Bumbogo,1,Kigali City,1201,3.88690697019299e-05,2023-01
12,Gasabo,Gatsata,1,Kigali City,1202,4.437668881099861e-05,2023-01
12,Gasabo,Gikomero,1,Kigali City,1203,3.812304235362821e-05,2023-01
12,Gasabo,Gisozi,1,Kigali City,1204,4.329196280926444e-05,2023-01
12,Gasabo,Jabana,1,Kigali City,1205,3.680211765029614e-05,2023-01
12,Gasabo,Jali,1,Kigali City,1206,3.949929193031947e-05,2023-01
12,Gasabo,Kacyiru,1,Kigali City,1207,4.4518121879968963e-05,2023-01
12,Gasabo,Kimihurura,1,Kigali City,1208,4.4271988796902156e-05,2023-01
12,Gasabo,Kimironko,1,Kigali City,1209,4.3270415110678284e-05,2023-01
12,Gasabo,Kinyinya,1,Kigali City,1210,4.231395109325225e-05,2023-01
12,Gasabo,Ndera,1,Kigali City,1211,3.9673317987426156e-05,2023-01
12,Gasabo,Nduba,1,Kigali City,1212,3.703655434331371e-05,2023-01
12,Gasabo,Remera,1,Kigali City,1213,4.4532068010179424e-05,2023-01
12,Gasabo,Rusororo,1,Kigali City,1214,3.799223334925198e-05,2023-01
12,Gasabo,Rutunga,1,Kigali City,1215,3.541413585090622e-05,2023-01
13,Kicukiro,Gahanga,1,Kigali City,1301,3.698913427307206e-05,2023-01
13,Kicukiro,Gatenga,1,Kigali City,1302,4.009799902903143e-05,2023-01
13,Kicukiro,Gikondo,1,Kigali City,1303,4.2430115774957375e-05,2023-01
13,Kicukiro,Kagarama,1,Kigali City,1304,4.039532843275444e-05,2023-01
13,Kicukiro,Kanombe,1,Kigali City,1305,3.6937326610623443e-05,2023-01
13,Kicukiro,Kicukiro,1,Kigali City,1306,4.240298147950601e-05,2023-01
13,Kicukiro,Kigarama,1,Kigali City,1307,4.050373555489238e-05,2023-01
13,Kicukiro,Masaka,1,Kigali City,1308,3.870366035463825e-05,2023-01
13,Kicukiro,Niboye,1,Kigali City,1309,4.170954188650233e-05,2023-01
13,Kicukiro,Nyarugunga,1,Kigali City,1310,3.850336046570132e-05,2023-01
21,Nyanza,Busasamana,2,Southern Province,2101,3.821045120755422e-05,2023-01
21,Nyanza,Busoro,2,Southern Province,2102,3.874887564858875e-05,2023-01
21,Nyanza,Cyabakamyi,2,Southern Province,2103,3.846985587668414e-05,2023-01
21,Nyanza,Kibilizi,2,Southern Province,2104,3.800948795488056e-05,2023-01
21,Nyanza,Kigoma,2,Southern Province,2105,3.888178373898799e-05,2023-01
21,Nyanza,Mukingo,2,Southern Province,2106,3.843692274203251e-05,2023-01
21,Nyanza,Muyira,2,Southern Province,2107,3.813557513865153e-05,2023-01
21,Nyanza,Ntyazo,2,Southern Province,2108,3.8493880271980754e-05,2023-01
21,Nyanza,Nyagisozi,2,Southern Province,2109,3.890350214249078e-05,2023-01
21,Nyanza,Rwabicuma,2,Southern Province,2110,3.8668496808207064e-05,2023-01
22,Gisagara,Gikonko,2,Southern Province,2201,3.794208271097799e-05,2023-01
22,Gisagara,Gishubi,2,Southern Province,2202,3.827424207910448e-05,2023-01
22,Gisagara,Kansi,2,Southern Province,2203,3.909547227001615e-05,2023-01
22,Gisagara,Kibirizi,2,Southern Province,2204,3.93523671091019e-05,2023-01
22,Gisagara,Kigembe,2,Southern Province,2205,3.7931983857485356e-05,2023-01
22,Gisagara,Mamba,2,Southern Province,2206,3.850949223811283e-05,2023-01
22,Gisagara,Muganza,2,Southern Province,2207,3.749737393847366e-05,2023-01
22,Gisagara,Mugombwa,2,Southern Province,2208,3.7624963236222695e-05,2023-01
22,Gisagara,Mukindo,2,Southern Province,2209,3.7979273769152025e-05,2023-01
22,Gisagara,Musha,2,Southern Province,2210,3.713579567040252e-05,2023-01
22,Gisagara,Ndora,2,Southern Province,2211,3.679179688858127e-05,2023-01
22,Gisagara,Nyanza,2,Southern Province,2212,3.6403595732828435e-05,2023-01
22,Gisagara,Save,2,Southern Province,2213,3.789545022160252e-05,2023-01
